epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,5564.01,0.0166,0.99956,1,0.00208,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5668.97,0.01696,0.99956,1,0.00208,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5773.65,0.0165,0.99956,1,0.00208,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5878.74,0.01422,0.99956,1,0.00207,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5983.79,0.01722,0.99956,1,0.00207,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6087.8,0.01489,0.99956,1,0.00209,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6192.75,0.01524,0.99956,1,0.00211,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6297.17,0.01674,0.99956,1,0.00212,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6401.95,0.01307,0.99956,1,0.00213,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6506.49,0.01602,0.99956,1,0.00214,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6611.26,0.01532,0.99956,1,0.00216,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6715.98,0.01475,0.99956,1,0.00218,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6820.62,0.0141,0.99956,1,0.00216,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6924.8,0.0162,0.99956,1,0.00217,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7028.83,0.01567,0.99956,1,0.00218,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7133.69,0.01491,0.99956,1,0.00219,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
